주소,목적지
서울특별시 송파구 마천1동,506
서울특별시 도봉구 쌍문제1동,505
서울특별시 강서구 화곡제4동,503
서울특별시 용산구 효창동,498
서울특별시 관악구 중앙동,496
서울특별시 동대문구 답십리제3동,495
서울특별시 광진구 자양제3동,494
서울특별시 서초구 서초2동,488
서울특별시 용산구 청파동,487
서울특별시 중랑구 면목제7동,484
서울특별시 영등포구 당산제2동,484
서울특별시 동작구 상도제4동,482
서울특별시 동대문구 이문제3동,482
서울특별시 은평구 불광제2동,478
서울특별시 은평구 신사제2동,476
서울특별시 강동구 암사제3동,471
서울특별시 도봉구 창제2동,466
서울특별시 송파구 잠실3동,466
서울특별시 영등포구 양평제1동,463
서울특별시 서대문구 천연동,457
서울특별시 광진구 능동,456
서울특별시 노원구 상계9동,449
서울특별시 영등포구 영등포본동,447
서울특별시 강서구 화곡제3동,446
서울특별시 동작구 노량진제1동,446
서울특별시 구로구 개봉제2동,443
서울특별시 관악구 청림동,440
서울특별시 도봉구 방학제2동,439
서울특별시 동작구 사당제2동,438
서울특별시 서초구 방배2동,437
서울특별시 마포구 합정동,435
서울특별시 강북구 미아동,434
서울특별시 성동구 금호1가동,432
서울특별시 마포구 서강동,431
서울특별시 강동구 암사제2동,430
서울특별시 강남구 대치2동,430
서울특별시 성동구 성수2가제3동,429
서울특별시 강북구 삼양동,428
서울특별시 강남구 논현2동,424
서울특별시 광진구 군자동,423
서울특별시 양천구 신월5동,423
서울특별시 강남구 대치4동,421
서울특별시 송파구 오륜동,421
서울특별시 구로구 가리봉동,421
서울특별시 서초구 방배4동,420
서울특별시 중랑구 면목제5동,420
서울특별시 강서구 등촌제1동,420
서울특별시 구로구 구로제4동,412
서울특별시 용산구 원효로제2동,412
서울특별시 강남구 개포2동,412
서울특별시 용산구 용문동,411
서울특별시 성북구 보문동,408
서울특별시 성북구 돈암제2동,406
서울특별시 마포구 망원제2동,406
서울특별시 동대문구 제기제1동,404
서울특별시 송파구 거여1동,404
서울특별시 용산구 서빙고동,401
서울특별시 성북구 동선동,399
서울특별시 성동구 송정동,396
서울특별시 중구 중림동,392
서울특별시 용산구 원효로제1동,392
서울특별시 광진구 광장동,390
서울특별시 은평구 수색동,390
서울특별시 양천구 신월2동,390
서울특별시 송파구 가락2동,388
서울특별시 서초구 방배1동,386
서울특별시 성북구 성북동,385
서울특별시 강남구 압구정동,384
서울특별시 종로구 부암동,383
서울특별시 동대문구 휘경제1동,383
서울특별시 성북구 장위제2동,382
서울특별시 강동구 명일제2동,374
서울특별시 동작구 상도제3동,373
서울특별시 강남구 청담동,371
서울특별시 성북구 정릉제4동,369
서울특별시 금천구 시흥제4동,368
서울특별시 관악구 신림동,367
서울특별시 관악구 인헌동,363
서울특별시 관악구 대학동,362
서울특별시 성북구 장위제3동,361
서울특별시 종로구 창신제1동,361
서울특별시 중랑구 묵제2동,360
서울특별시 종로구 무악동,358
서울특별시 마포구 신수동,357
서울특별시 동작구 사당제3동,350
서울특별시 양천구 신월4동,349
서울특별시 송파구 가락1동,348
서울특별시 송파구 잠실본동,347
서울특별시 광진구 중곡제1동,343
서울특별시 관악구 조원동,343
서울특별시 성동구 행당제2동,339
서울특별시 성북구 정릉제2동,338
서울특별시 동작구 사당제1동,337
서울특별시 용산구 이태원제1동,335
서울특별시 성동구 왕십리제2동,332
서울특별시 구로구 고척제2동,330
서울특별시 양천구 목2동,330
서울특별시 강남구 대치1동,329
서울특별시 강서구 화곡제8동,329
서울특별시 성북구 정릉제1동,329
서울특별시 종로구 평창동,328
서울특별시 서대문구 북가좌제1동,326
서울특별시 금천구 시흥제5동,323
서울특별시 양천구 신월6동,323
서울특별시 서초구 잠원동,322
서울특별시 구로구 구로제1동,318
서울특별시 종로구 숭인제2동,318
서울특별시 중구 신당제4동,316
서울특별시 성북구 돈암제1동,315
서울특별시 용산구 후암동,312
서울특별시 강동구 고덕제2동,311
서울특별시 강동구 성내제3동,308
서울특별시 영등포구 대림제2동,308
서울특별시 은평구 갈현제1동,304
서울특별시 중랑구 망우제3동,299
서울특별시 마포구 연남동,296
서울특별시 송파구 문정1동,296
서울특별시 관악구 남현동,296
서울특별시 성동구 성수1가제2동,289
서울특별시 송파구 송파1동,288
서울특별시 성동구 금호2.3가동,287
서울특별시 강서구 등촌제2동,286
서울특별시 구로구 개봉제3동,286
서울특별시 중구 신당제5동,283
서울특별시 중구 신당제6동,274
서울특별시 동대문구 장안제4동,273
서울특별시 강남구 개포4동,264
서울특별시 성동구 성수2가제1동,262
서울특별시 양천구 신정1동,262
서울특별시 광진구 자양제4동,257
서울특별시 강남구 도곡2동,255
서울특별시 동대문구 전농제1동,252
서울특별시 서초구 방배3동,249
서울특별시 송파구 풍납1동,243
서울특별시 송파구 잠실7동,242
서울특별시 영등포구 신길제4동,240
서울특별시 서초구 반포3동,237
서울특별시 강서구 화곡제2동,235
서울특별시 성동구 금호4가동,230
서울특별시 성북구 정릉제3동,229
서울특별시 영등포구 신길제5동,228
서울특별시 종로구 명륜3가동,228
서울특별시 성동구 옥수동,225
서울특별시 강남구 논현1동,224
서울특별시 송파구 송파2동,222
서울특별시 관악구 신사동,218
서울특별시 중구 필동,217
서울특별시 서초구 방배본동,215
서울특별시 송파구 삼전동,213
서울특별시 관악구 신원동,212
서울특별시 중구 장충동,201
서울특별시 강남구 역삼2동,200
서울특별시 금천구 독산제4동,192
서울특별시 동작구 노량진제2동,186
서울특별시 동대문구 답십리제1동,186
서울특별시 중구 신당제1동,182
서울특별시 중구 신당제2동,181
서울특별시 강남구 신사동,171
서울특별시 송파구 잠실4동,167
서울특별시 용산구 용산2가동,167
서울특별시 영등포구 신길제7동,167
서울특별시 용산구 이촌제2동,162
서울특별시 동작구 사당제4동,152
서울특별시 송파구 방이1동,152
서울특별시 동작구 사당제5동,147
서울특별시 마포구 용강동,146
서울특별시 종로구 삼청동,143
서울특별시 서초구 반포1동,140
서울특별시 동대문구 이문제2동,133
서울특별시 성동구 용답동,129
서울특별시 종로구 창신제2동,123
서울특별시 성동구 응봉동,122
서울특별시 종로구 숭인제1동,118
서울특별시 종로구 가회동,110
서울특별시 금천구 독산제2동,108
서울특별시 중구 을지로동,86
서울특별시 용산구 보광동,86
서울특별시 금천구 시흥제3동,85
서울특별시 서초구 반포2동,63
서울특별시 동대문구 이문제1동,62
서울특별시 용산구 이태원제2동,59
서울특별시 종로구 창신제3동,57
서울특별시 중구 영종동,9
서울특별시 서초구 반포본동,4
서울특별시 강남구 개포1동,3
서울특별시 강동구 둔촌제1동,3
서울특별시 중구 신흥동,2
