주소,출발지
서울특별시 중구 장충동,150
서울특별시 성동구 응봉동,148
서울특별시 강남구 신사동,145
서울특별시 용산구 이촌제2동,144
서울특별시 동작구 사당제4동,136
서울특별시 종로구 숭인제1동,131
서울특별시 성동구 용답동,129
서울특별시 송파구 방이1동,128
서울특별시 중구 신당제1동,120
서울특별시 마포구 용강동,119
서울특별시 금천구 독산제2동,117
서울특별시 서초구 반포1동,116
서울특별시 중구 을지로동,105
서울특별시 중구 신당제2동,99
서울특별시 용산구 보광동,98
서울특별시 동대문구 이문제1동,97
서울특별시 종로구 가회동,97
서울특별시 강동구 둔촌제1동,86
서울특별시 서초구 반포2동,84
서울특별시 종로구 창신제2동,83
서울특별시 종로구 창신제3동,72
서울특별시 용산구 이태원제2동,52
서울특별시 서초구 반포본동,5
서울특별시 강남구 개포1동,2
