기준일,차량운행,접수건,탑승건,평균대기시간
2019-03-16,0.09647779479326185,0.29343907714491707,0.2661920073495636,51.0
2019-03-17,0.05819295558958654,0.24855803893294875,0.26550298576022047,40.6
2019-03-18,0.3537519142419602,0.7736121124729632,0.7597611391823611,74.1
2019-03-19,0.35987748851454826,0.7840663302090843,0.7916858061552596,70.8
2019-03-20,0.3705972434915773,0.8359769286229272,0.7721635277905374,72.2
2019-03-21,0.41807044410413474,0.8484138428262437,0.8215434083601287,54.4
2019-03-22,0.4058192955589587,0.8127253064167268,0.790767110702802,54.4
2019-03-23,0.10719754977029095,0.3138067772170151,0.280431786862655,56.9
2019-03-24,0.07044410413476265,0.26820475847152125,0.27308222324299497,36.1
2019-03-25,0.38897396630934156,0.8022710886806056,0.8073036288470372,60.4
2019-03-26,0.4303215926493109,0.8175919250180245,0.8321084060633901,59.5
